epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1972.43,0.76042,0.59124,1.05073,0.75616,0.6502,0.69742,0.55536,0.82579,1.0849,1.11413,0.000990365,0.000990365,0.000990365
43,2017.82,0.75466,0.58699,1.05012,0.73847,0.66786,0.72106,0.57824,0.81353,1.01322,1.10168,0.000973861,0.000973861,0.000973861
44,2067.66,0.75698,0.57936,1.04382,0.76405,0.64997,0.71469,0.57489,0.8362,1.06141,1.11605,0.000957358,0.000957358,0.000957358
45,2114.4,0.74445,0.56747,1.04102,0.77652,0.65402,0.7306,0.58653,0.82546,1.01215,1.10477,0.000940855,0.000940855,0.000940855
46,2161.36,0.74617,0.56563,1.04357,0.72496,0.66759,0.72281,0.58596,0.81016,1.02627,1.08933,0.000924352,0.000924352,0.000924352
47,2208.34,0.73657,0.55635,1.04035,0.77077,0.61917,0.7019,0.56244,0.81949,1.07542,1.10375,0.000907848,0.000907848,0.000907848
48,2255.26,0.72685,0.54627,1.03416,0.7891,0.62967,0.72635,0.58708,0.82651,1.04961,1.1091,0.000891345,0.000891345,0.000891345
49,2302.15,0.72519,0.54657,1.03505,0.70706,0.69226,0.72805,0.59519,0.80681,1.0881,1.09608,0.000874842,0.000874842,0.000874842
50,2348.91,0.72067,0.54032,1.03183,0.75142,0.65398,0.72213,0.58653,0.79871,1.05807,1.08498,0.000858338,0.000858338,0.000858338
51,2395.75,0.71655,0.54379,1.03247,0.73254,0.66444,0.70085,0.57014,0.81195,1.08429,1.09684,0.000841835,0.000841835,0.000841835
52,2442.38,0.71151,0.53315,1.02752,0.76067,0.67939,0.72911,0.58521,0.81887,0.99671,1.10221,0.000825332,0.000825332,0.000825332
53,2489.42,0.70348,0.52484,1.02216,0.74131,0.66429,0.69805,0.56582,0.81054,1.0727,1.10111,0.000808828,0.000808828,0.000808828
54,2536.97,0.70304,0.52222,1.01765,0.74838,0.66828,0.72993,0.59361,0.79767,1.02565,1.0839,0.000792325,0.000792325,0.000792325
55,2583.66,0.70279,0.52509,1.02115,0.79721,0.6317,0.71533,0.57768,0.79554,1.07918,1.09587,0.000775822,0.000775822,0.000775822
56,2630.62,0.68839,0.51613,1.01701,0.70522,0.68038,0.7182,0.58218,0.81086,1.0887,1.09804,0.000759318,0.000759318,0.000759318
57,2677.54,0.6963,0.51152,1.01399,0.75391,0.66427,0.72927,0.60157,0.79499,1.06674,1.08343,0.000742815,0.000742815,0.000742815
58,2724.64,0.68692,0.508,1.01085,0.77975,0.66926,0.74225,0.60643,0.78151,1.00615,1.06938,0.000726312,0.000726312,0.000726312
59,2771.57,0.68093,0.50142,1.00458,0.77378,0.66221,0.7347,0.59735,0.79737,1.03674,1.08491,0.000709809,0.000709809,0.000709809
60,2818.36,0.68367,0.50002,1.00808,0.7749,0.65792,0.72659,0.59939,0.8038,1.07967,1.09583,0.000693305,0.000693305,0.000693305
61,2866.6,0.66379,0.48573,1.00069,0.77812,0.64778,0.72432,0.59274,0.78345,1.06037,1.0706,0.000676802,0.000676802,0.000676802
62,2914.13,0.65946,0.48462,1.00026,0.76555,0.65176,0.71924,0.59099,0.78619,1.10944,1.07713,0.000660299,0.000660299,0.000660299
